IDcyclist,gene_sz_lastname,gene_sz_firstname,fkIDteam
5186,Ma,Zhengke,119
5189,Chang,You Cheng,119
5190,Yau,Ping Cheung,333
5191,Ilyin,Roman,119
5193,Kulikov,Sergei,119
5194,Malkov,Kirill,119
5195,Malo,Bruno Miguel,119
5196,Gómez Ortuño,Máximo,119
5197,Fedorov,Daniil,194
5198,Mukhtorov,Sardor,119
5199,Sayfiev,Samariddin,194
5200,Mendoza Bravo,Camilo,119
5202,Frolov,Igor,119
5203,Yoshida,Haruto,119
5204,Morimoto,Rintaro,119
5205,Inglis,Toby,276
5206,Hone,Levi,276
5207,Eaves,Alex,119
5208,Stevenson,Lucas,276
5209,Sims,Oliver,119
5210,Jerez,Yosymar,119
5211,Morillo,Jaiker,119
5213,Ortega,Neider,119
5214,Pritchard,Alex,119
5215,Davies,Cai,119
5216,Giles,Jordan,119
5217,Mangham,Olivier,119
5218,Maggia,Luca,119
5219,Bonaldo,Antonio,336
5220,Farsetti,Tommaso,119
5221,Gioia,Jacopo,119
5223,Pei,Zhengyu,193
5224,Zhang,Jinyan,193
5226,Bai,Pengcheng,119
5228,Zhang,Huibin,261
5230,Deng,Zhiying,119
5234,Fan,Haoyan,199
5235,Qiao,Liyao,199
5236,Duan,Mingqi,278
5237,Yang,Zhibin,278
5238,Liu,Zhenlong,119
5239,Scarso,Andrea,336
5240,Graziotto,Luca,119
5241,Klanjscek,Gasper,119
5242,Michalec,Sebastián,450
5243,Shpakouski,Viachaslau,119
5245,Kamberaj,Valentino,378
5247,Scappini,Samuele,119
5248,Eriksen,Herman Emil,627
5249,Farstadvoll,Henrik,627
5250,Rydningen Martinsen,Georg,627
5251,Solheim,Bruno,119
5253,Teweldbrhan,Dawit,205
5254,Mugalu,Shafik,119
5257,Elofsson,Edvin,119
5258,Lounela,Leo,119
5259,Ossiansson,Colin,180
5260,Flajs,Maj,179
5261,Ishikura,Ryuji,119
5262,Trozzi,Emiliano,119
5264,Sisterna,Fabricio,119
5265,Lopez,David,119
5267,Rios,Lautaro,119
5268,Santillan,Hernan,119
5271,Barrios,Benjamín,119
5272,Bretti,Bastian,119
5273,Ramirez,Gustavo,119
5274,Montoya,Jairo Orlando,119
5275,Schots,Evert,119
5276,Posnic,Louis-Marie,123
5277,Logachyev,Yegor,96
5279,Bashlykov,Vladislav,174
5280,Poroshenko,Lev,119
5281,Silykbek,Aslan,119
5303,Cras,Steff,10
5304,De Plus,Laurens,2
